NCD pAvals pCvals pp pc Dprime Method r2value sd Method2
300Ge 0.25 0.25 0.25-0.25 0.25 0.8 Ge 0.8 0.042 Ge300Ge
900Ge 0.25 0.25 0.25-0.25 0.25 0.8 Ge 0.799 0.023 Ge900Ge
1800Ge 0.25 0.25 0.25-0.25 0.25 0.8 Ge 0.8 0.016 Ge1800Ge
2700Ge 0.25 0.25 0.25-0.25 0.25 0.8 Ge 0.8 0.013 Ge2700Ge
100Ge 0.05 0.35 0.05-0.35 0.2 0.8 Ge 0.802 0.081 Ge100Ge
300Ge 0.05 0.35 0.05-0.35 0.2 0.8 Ge 0.801 0.046 Ge300Ge
900Ge 0.05 0.35 0.05-0.35 0.2 0.8 Ge 0.8 0.026 Ge900Ge
1800Ge 0.05 0.35 0.05-0.35 0.2 0.8 Ge 0.8 0.018 Ge1800Ge
2700Ge 0.05 0.35 0.05-0.35 0.2 0.8 Ge 0.8 0.015 Ge2700Ge
100Ge 0.15 0.35 0.15-0.35 0.25 0.8 Ge 0.8 0.074 Ge100Ge
300Ge 0.15 0.35 0.15-0.35 0.25 0.8 Ge 0.8 0.042 Ge300Ge
900Ge 0.15 0.35 0.15-0.35 0.25 0.8 Ge 0.799 0.024 Ge900Ge
1800Ge 0.15 0.35 0.15-0.35 0.25 0.8 Ge 0.8 0.017 Ge1800Ge
2700Ge 0.15 0.35 0.15-0.35 0.25 0.8 Ge 0.8 0.014 Ge2700Ge
100Ge 0.25 0.35 0.25-0.35 0.3 0.8 Ge 0.802 0.068 Ge100Ge
300Ge 0.25 0.35 0.25-0.35 0.3 0.8 Ge 0.8 0.038 Ge300Ge
900Ge 0.25 0.35 0.25-0.35 0.3 0.8 Ge 0.799 0.023 Ge900Ge
1800Ge 0.25 0.35 0.25-0.35 0.3 0.8 Ge 0.8 0.016 Ge1800Ge
2700Ge 0.25 0.35 0.25-0.35 0.3 0.8 Ge 0.8 0.013 Ge2700Ge
100Ge 0.35 0.35 0.35-0.35 0.35 0.8 Ge 0.8 0.064 Ge100Ge
300Ge 0.35 0.35 0.35-0.35 0.35 0.8 Ge 0.801 0.038 Ge300Ge
900Ge 0.35 0.35 0.35-0.35 0.35 0.8 Ge 0.8 0.021 Ge900Ge
1800Ge 0.35 0.35 0.35-0.35 0.35 0.8 Ge 0.8 0.015 Ge1800Ge
2700Ge 0.35 0.35 0.35-0.35 0.35 0.8 Ge 0.8 0.013 Ge2700Ge
100Ge 0.05 0.45 0.05-0.45 0.25 0.8 Ge 0.798 0.075 Ge100Ge
300Ge 0.05 0.45 0.05-0.45 0.25 0.8 Ge 0.802 0.044 Ge300Ge
900Ge 0.05 0.45 0.05-0.45 0.25 0.8 Ge 0.8 0.025 Ge900Ge
1800Ge 0.05 0.45 0.05-0.45 0.25 0.8 Ge 0.801 0.018 Ge1800Ge
2700Ge 0.05 0.45 0.05-0.45 0.25 0.8 Ge 0.8 0.015 Ge2700Ge
100Ge 0.15 0.45 0.15-0.45 0.3 0.8 Ge 0.801 0.069 Ge100Ge
300Ge 0.15 0.45 0.15-0.45 0.3 0.8 Ge 0.799 0.041 Ge300Ge
900Ge 0.15 0.45 0.15-0.45 0.3 0.8 Ge 0.801 0.024 Ge900Ge
1800Ge 0.15 0.45 0.15-0.45 0.3 0.8 Ge 0.799 0.016 Ge1800Ge
2700Ge 0.15 0.45 0.15-0.45 0.3 0.8 Ge 0.8 0.014 Ge2700Ge
100Ge 0.25 0.45 0.25-0.45 0.35 0.8 Ge 0.802 0.066 Ge100Ge
300Ge 0.25 0.45 0.25-0.45 0.35 0.8 Ge 0.799 0.039 Ge300Ge
900Ge 0.25 0.45 0.25-0.45 0.35 0.8 Ge 0.8 0.022 Ge900Ge
1800Ge 0.25 0.45 0.25-0.45 0.35 0.8 Ge 0.801 0.016 Ge1800Ge
2700Ge 0.25 0.45 0.25-0.45 0.35 0.8 Ge 0.8 0.013 Ge2700Ge
100Ge 0.35 0.45 0.35-0.45 0.4 0.8 Ge 0.8 0.063 Ge100Ge
300Ge 0.35 0.45 0.35-0.45 0.4 0.8 Ge 0.801 0.037 Ge300Ge
900Ge 0.35 0.45 0.35-0.45 0.4 0.8 Ge 0.8 0.021 Ge900Ge
1800Ge 0.35 0.45 0.35-0.45 0.4 0.8 Ge 0.8 0.015 Ge1800Ge
2700Ge 0.35 0.45 0.35-0.45 0.4 0.8 Ge 0.8 0.012 Ge2700Ge
100Ge 0.45 0.45 0.45-0.45 0.45 0.8 Ge 0.799 0.063 Ge100Ge
300Ge 0.45 0.45 0.45-0.45 0.45 0.8 Ge 0.8 0.036 Ge300Ge
900Ge 0.45 0.45 0.45-0.45 0.45 0.8 Ge 0.8 0.021 Ge900Ge
1800Ge 0.45 0.45 0.45-0.45 0.45 0.8 Ge 0.8 0.015 Ge1800Ge
2700Ge 0.45 0.45 0.45-0.45 0.45 0.8 Ge 0.8 0.012 Ge2700Ge
