NCD pAvals pCvals pp pc Dprime Method r2value sd Method2
300Ha 0.05 0.25 0.05-0.25 0.15 0.4 Ha 0.402 0.059 Ha300Ha
900Ha 0.05 0.25 0.05-0.25 0.15 0.4 Ha 0.401 0.034 Ha900Ha
1800Ha 0.05 0.25 0.05-0.25 0.15 0.4 Ha 0.4 0.024 Ha1800Ha
2700Ha 0.05 0.25 0.05-0.25 0.15 0.4 Ha 0.4 0.02 Ha2700Ha
100Ha 0.15 0.25 0.15-0.25 0.2 0.4 Ha 0.406 0.088 Ha100Ha
300Ha 0.15 0.25 0.15-0.25 0.2 0.4 Ha 0.4 0.051 Ha300Ha
900Ha 0.15 0.25 0.15-0.25 0.2 0.4 Ha 0.4 0.029 Ha900Ha
1800Ha 0.15 0.25 0.15-0.25 0.2 0.4 Ha 0.399 0.021 Ha1800Ha
2700Ha 0.15 0.25 0.15-0.25 0.2 0.4 Ha 0.4 0.017 Ha2700Ha
100Ha 0.25 0.25 0.25-0.25 0.25 0.4 Ha 0.404 0.08 Ha100Ha
300Ha 0.25 0.25 0.25-0.25 0.25 0.4 Ha 0.402 0.047 Ha300Ha
900Ha 0.25 0.25 0.25-0.25 0.25 0.4 Ha 0.4 0.027 Ha900Ha
1800Ha 0.25 0.25 0.25-0.25 0.25 0.4 Ha 0.399 0.019 Ha1800Ha
2700Ha 0.25 0.25 0.25-0.25 0.25 0.4 Ha 0.401 0.016 Ha2700Ha
100Ha 0.05 0.35 0.05-0.35 0.2 0.4 Ha 0.405 0.094 Ha100Ha
300Ha 0.05 0.35 0.05-0.35 0.2 0.4 Ha 0.402 0.054 Ha300Ha
900Ha 0.05 0.35 0.05-0.35 0.2 0.4 Ha 0.4 0.032 Ha900Ha
1800Ha 0.05 0.35 0.05-0.35 0.2 0.4 Ha 0.4 0.022 Ha1800Ha
2700Ha 0.05 0.35 0.05-0.35 0.2 0.4 Ha 0.4 0.018 Ha2700Ha
100Ha 0.15 0.35 0.15-0.35 0.25 0.4 Ha 0.405 0.083 Ha100Ha
300Ha 0.15 0.35 0.15-0.35 0.25 0.4 Ha 0.401 0.048 Ha300Ha
900Ha 0.15 0.35 0.15-0.35 0.25 0.4 Ha 0.401 0.028 Ha900Ha
1800Ha 0.15 0.35 0.15-0.35 0.25 0.4 Ha 0.4 0.02 Ha1800Ha
2700Ha 0.15 0.35 0.15-0.35 0.25 0.4 Ha 0.4 0.016 Ha2700Ha
100Ha 0.25 0.35 0.25-0.35 0.3 0.4 Ha 0.404 0.077 Ha100Ha
300Ha 0.25 0.35 0.25-0.35 0.3 0.4 Ha 0.401 0.044 Ha300Ha
900Ha 0.25 0.35 0.25-0.35 0.3 0.4 Ha 0.4 0.025 Ha900Ha
1800Ha 0.25 0.35 0.25-0.35 0.3 0.4 Ha 0.401 0.018 Ha1800Ha
2700Ha 0.25 0.35 0.25-0.35 0.3 0.4 Ha 0.4 0.015 Ha2700Ha
